# 来源：kajweb/dict GaoZhongluan_2（有道高考必备词汇，非官方新课标3500表）
# 格式：word|词性|中文释义。词性含 n/v/a/d 时分别控制生成复数/动词变形/比较级。
# 词条数：3665（跳过 3 条：词组、重复或非法字符）
six|n|num 六，六个；n 六，六个
sixteen|a|adj 十六的，十六个的；num 十六
sixteenth|a|num 第十六；十六分之一；adj 第十六的；十六分之一的
sixth|a n|n 月的第六日，（与the连用的）第六个；六分之一；adj （与 the 连用）第六的，第六个的；六分之一的
sixty||num 六十；六十个
size|a n v|n 大小；尺寸；adj 一定尺寸的
skate|n v|v 滑冰；滑过；n 溜冰；冰鞋
skateboard|n v|n 溜冰板；v 用滑板滑行
ski|a n v|n 滑雪橇；v 滑雪
skill|n|n 技能，技巧；本领，技术
skilled|a|adj 熟练的；有技能的；需要技能的
skillful|a|adj 熟练的；巧妙的
skillfully|d|adv 巧妙地；精巧地
skin|n v|n 皮肤；外皮；v 剥皮
skip|n v|v 跳跃；跳绳；遗漏；跳读；n 跳跃；跳读
skirt|n v|n 裙子；v 绕过，回避；位于…边缘
sky|n v|n 天空；顶点；v 把…投向空中；把…挂得过高
skyscraper|n|n 摩天楼，超高层大楼；特别高的东西
slave|n v|n 奴隶；从动装置；v 苦干；拼命工作
slavery|n|n 奴役；奴隶制度；奴隶身份
sleep|n v|v 睡，睡觉；n 睡眠
sleepy|a|adj 欲睡的；困乏的；不活跃的
sleeve|n v|n [机] 套筒，[机] 套管；袖子，[服装] 袖套；vt 给……装袖子；给……装套筒
slice|n v|n 薄片；部分；菜刀，火铲；v 切下；把…分成部分；将…切成薄片
slide|n v|n 滑动；幻灯片；滑梯；雪崩；v 滑动；滑落；不知不觉陷入
slight|a n v|adj 轻微的，少量的；脆弱的；细长的；不重要的；v 轻视，忽略；怠慢
slim|a n v|adj 苗条的；修长的；微小的；差的；v 使…体重减轻；使…苗条
slip|a n v|v 滑动；滑倒；犯错；失足；减退；n 滑，滑倒；片，纸片；错误；下跌；事故
slow|a d n v|adj 慢的；减速的；迟钝的；v 变慢；变萧条
small|a d n|adj 少的，小的；微弱的；几乎没有的；不重要的；幼小的；adv 小小地；卑鄙地
smart|a n|adj 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的；n (Smart)人名；(法)斯马尔；(英、德)斯马特
smell|n v|v 嗅，闻；有…气味；n 气味，嗅觉；臭味
smelly|a|adj 有臭味的，发臭的
smile|n v|v 微笑；n 微笑；笑容；喜色
smog|n|n 烟雾
smoke|n v|n 烟；抽烟；无常的事物；v 冒烟，吸烟；抽烟；弥漫
smoker|n|n 吸烟者；薰制工
smoking|a d n v|n 抽烟；冒气；adv 冒着烟
smooth|a d n v|adj 顺利的；光滑的；平稳的；v 使光滑；消除（障碍等）；使优雅；缓和
snack|n v|n 小吃，快餐；一份，部分；v 吃快餐，吃点心
snake|n v|n 蛇；阴险的人；v 迂回前进
snatch|n v|n 抢夺；抓举；小量；v 夺得；抽空做；及时救助
sneaker|n|n 运动鞋；卑鄙者；鬼鬼祟祟做事的人
sneeze|n v|v 打喷嚏；n 喷嚏
sniff|n v|v 嗅；嗤之以鼻；n 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声
snow|n v|n 雪，积雪；下雪；v 降雪
snowball|n v|n 雪球；v 掷雪球；滚雪球般增大
snowman|n|n 雪人
snowy|a|adj 下雪的，多雪的；被雪覆盖的；洁白无瑕的
so|d n|adv 如此，这么；确是如此；conj 所以；因此
soap|n v|n 肥皂；v 将肥皂涂在……上；对……拍马屁（俚语）
sob|n v|v 啜泣，呜咽；（风等）发出呜咽声；n 啜泣，呜咽
soccer|n|n 英式足球，足球
social|a n|adj 社会的，社交的；群居的；n 联谊会；联欢会
socialism|n|n 社会主义
socialist|a n|n 社会主义者；社会党党员；adj 社会主义的
society|n|n 社会；交往；社团；社交界
sock|a d n v|n 短袜；一击；v 重击；给……穿袜
socket|n v|n 插座；窝，穴；牙槽；vt 给…配插座
sofa|n|n 沙发；长椅
soft|a d n|adj 软的，柔软的；温柔的，温和的；软弱的；笨的；adv 柔软地；温和地
softball|n|n 垒球；垒球运动
software|n|n 软件
soil|n v|n 土地；土壤；国家；粪便；务农；温床；v 弄脏；污辱
solar|a n|adj 太阳的；日光的；利用太阳光的；与太阳相关的；n 日光浴室
soldier|n v|n 军人；[昆] 兵蚁；懒汉；一片烤面包；v 当兵；磨洋工；坚持干；假称害病
solid|a n|adj 固体的；可靠的；立体的；结实的；一致的；n 固体；立方体
some|a d|adj 一些；某个；大约；相当多的；pron 一些；若干；其中的一部分；（数量不确切时用）有些人
somebody|n|n 大人物；重要人物；pron 有人；某人
someone||pron 有人，某人
something|a d n|pron 某事；某物；n 重要的人；值得重视的事
sometimes|d|adv 有时，间或
somewhere|d n|adv 在某处；到某处；n 某个地方
son|n|n 儿子；孩子（对年轻人的称呼）；男性后裔
song|n|n 歌曲；歌唱；诗歌；鸣声
soon|d|adv 快；不久，一会儿；立刻；宁愿
sorrow|n v|n 悲伤；懊悔；伤心事；v 懊悔；遗憾；感到悲伤
sorry|a|adj 遗憾的；对不起的，抱歉的；int 对不起，抱歉（表示委婉的拒绝等）
sort|n v|n 种类；方式；品质；v 分类；协调；交往
soul|a n|n 灵魂；心灵；精神；鬼魂；adj 美国黑人文化的
sound|a d n v|v 听（诊）；测量，测…深；使发声；试探；宣告；n 声音，语音；噪音；海峡；吵闹；听力范围；[医] 探条
soup|n v|n 汤，羹；马力；v 加速；增加马力
sour|a n v|adj 酸的；发酵的；刺耳的；酸臭的；讨厌的；v 发酵；变酸；厌烦
south|a d n|n 南方，南边；南部；adv 在南方，向南方
southern|a n|adj 南的；南方的；n 南方人
southwest|a d n|n 西南方；adj 西南的
souvenirs|n|n 纪念品；旅游纪念品；回忆
sow|n v|v 播种；散布；使密布；n 母猪
space|n v|n 空间；太空；距离；v 留间隔
spaceship|n|n [航] 宇宙飞船
spade|n v|n 铁锹，铲子；v 铲；把……弄实抹平
spaghetti|n|n 意大利式细面条
spain|n|n 西班牙
spanish|a n|adj 西班牙的；西班牙人的；西班牙语的；n 西班牙语；西班牙人
spare|a n v|v 节约，吝惜；饶恕；分出，分让；adj 多余的；瘦的；少量的
sparrow|n|n 麻雀；矮小的人
speak|v|v 说话；演讲；表明；陈述
speaker|n|n 演讲者；扬声器；说话者；说某种语言的人
spear|n v|n 矛，枪；v 用矛刺
special|a n|n 特使，特派人员；特刊；特色菜；专车；特价商品；adj 特别的；专门的，专用的
specialist|a n|n 专家；专门医师；adj 专家的；专业的
speech|n|n 演讲；讲话；[语] 语音；演说
speed|n v|v 超速，加速；加速，迅速前行；兴隆；n 速度，速率；迅速，快速；昌盛，繁荣
spell|n v|v 拼，拼写；意味着；招致；拼成；迷住；轮值；n 符咒；一段时间；魅力
spelling|n v|n 拼写；拼字；拼法；v 拼写；意味着（spell的ing形式）；迷住
spend|n v|v 度过，消磨（时光）；花费；浪费；用尽；n 预算
spin|n v|v 旋转；纺纱；吐丝；晕眩；n 旋转；疾驰
spirit|n v|n 精神；心灵；情绪；志气；烈酒；v 鼓励；鼓舞；诱拐
spiritual|a n|n 圣歌（尤指美国南部黑人的）；adj 精神的，心灵的
spit|n v|v 吐痰；吐口水；发出劈啪声；n 唾液
splendid|a|adj 辉煌的；灿烂的；极好的；杰出的
split|a n v|v 分离；使分离；劈开；离开；分解；n 劈开；裂缝
spoken|a v|adj 口语的，口头的；v 说（speak的过去分词）
sponsor|n v|n 赞助者；主办者；保证人；v 赞助；发起
spoon|n v|n 匙，勺子；一杓的量；v 用匙舀；使成匙状
spoonful|n|n 一匙；一匙的量
sport|a n v|n 运动；游戏；娱乐；运动会；玩笑；v 游戏
spot|a d n v|n 地点；斑点；v 认出；弄脏；用灯光照射
spray|n v|n 喷雾；喷雾器；水沫；v 喷射
spread|a n v|v 传播；伸展；n 传播；伸展
spring|a n v|n 春天；弹簧；泉水；活力；跳跃；adj 春天的
spy|n v|v 侦察；发现；暗中监视；n 间谍；密探
square|a d n v|adj 平方的；正方形的；直角的；正直的；v 使成方形；与…一致
squeeze|n v|v 挤；紧握；勒索；n 压榨；紧握；拥挤；佣金
squid|n|n 鱿鱼；乌贼；枪乌贼
squirrel|n v|n 松鼠；松鼠毛皮；v 贮藏
stable|a n v|n 马厩；牛棚；adj 稳定的；牢固的；坚定的
stadium|n|n 体育场；露天大型运动场
staff|a n v|n 职员；参谋；棒；支撑；adj 职员的；行政工作的
stage|n v|n 阶段；舞台；戏剧；驿站；v 举行；上演；筹划
stain|n v|v 沾污；败坏；给…着色；n 污点；瑕疵；着色剂
stainless|a|adj 不锈的；纯洁的，未被玷污的；无瑕疵的
stair|n|n 楼梯，阶梯；梯级
stamp|n v|n 邮票；印记；标志；跺脚；v 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
stand|n v|v 站立；位于；停滞；n 站立；立场；看台；停止
standard|a n|n 标准；水准；旗；度量衡标准；adj 标准的；合规格的；公认为优秀的
stare|n v|v 凝视，盯着看；显眼；n 凝视；注视
start|n v|v 开始；启动；n 开始；起点
starvation|n|n 饿死；挨饿；绝食
starve|v|v 饿死；挨饿；渴望
state|a n v|n 国家；州；情形；v 规定；声明；陈述
statement|n|n 声明；陈述，叙述；报表，清单
statesman|n|n 政治家；国务活动家
station|n v|n 车站；驻地；地位；身份；v 配置；安置；驻扎
statistics|n|n 统计；统计学；[统计] 统计资料
statue|n v|n 雕像，塑像；vt 以雕像装饰
status|n|n 地位；状态；情形；重要身份
stay|n v|v 停留；坚持；暂住；停下；n 逗留；停止；支柱
steady|a d n v|adj 稳定的；不变的；沉着的；v 稳固
steak|n|n 牛排；肉排；鱼排
steal|n v|v 剽窃；偷偷地做；偷窃；n 偷窃；便宜货；偷垒；断球
steam|a n v|v 蒸，散发；用蒸汽处理；n 蒸汽；精力
steel|a n v|n 钢铁；钢制品；坚固；v 钢化；使冷酷
steep|a n v|adj 陡峭的；不合理的；夸大的；急剧升降的；v 泡；浸；使…充满
step|n v|n 步，脚步；步骤；步伐；梯级；v 踏，踩；走
steward|n v|n 管家；乘务员；膳务员；工会管事；vi 当服务员；当管事
stewardess|n|n 女管家；女干事；女服务员
stick|n v|v 刺，戳；伸出；粘贴；n 棍；手杖；呆头呆脑的人
still|a d n v|adv 仍然；更；静止地；adj 静止的，不动的；寂静的，平静的；不起泡的
stocking|n|n 长袜
stomach|n v|n 胃；腹部；胃口；v 忍受；吃下
stomachache|n|n 腹痛，肚子痛；胃痛
stone|a n v|n 石头；结石；[宝] 宝石；adj 石的，石制的
stop|n v|v 停止；堵塞；断绝；n 停止；车站；障碍；逗留
stopwatch|n v|n 码表；跑表；vt 用秒表测定时间
storage|n|n 存储；仓库；贮藏所
store|n v|n 商店；储备，贮藏；仓库；v 贮藏，储存
storm|n v|n 暴风雨；大动荡；v 起风暴；横冲直撞；狂怒咆哮
story|n v|n 故事；小说；新闻报道；来历；假话；vt 用历史故事画装饰
stout|a n|adj 结实的；矮胖的；勇敢的；激烈的；n 矮胖子；烈性啤酒
stove|n v|n 火炉；窑；温室；vt 用火炉烤
straight|a d n|adj 直的；连续的；笔直的；正直的；整齐的；异性恋的；adv 直接地；不断地；立即；坦率地
straightforward|a d|adj 简单的；坦率的；明确的；径直的；adv 直截了当地；坦率地
strait|a n|adj 狭窄的；苦恼的；n 海峡；困境
strange|a d n|adj 奇怪的；陌生的；外行的；adv 奇怪地；陌生地，冷淡地
stranger|n|n 陌生人；外地人；局外人
straw|a n|n 稻草；吸管；一文不值的东西；adj 稻草的；无价值的
strawberry|n|n 草莓；草莓色
stream|n v|n 溪流；流动；潮流；光线；v 流；涌进；飘扬
street|a n|n 街道；adj 街道的
strength|n|n 力量；力气；兵力；长处
strengthen|v|v 加强；巩固
stress|n v|n 压力；强调；紧张；重要性；重读；v 强调；使紧张；加压力于；用重音读
strict|a|adj 严格的；绝对的；精确的；详细的
strike|n v|v 打，打击；罢工；敲，敲击；抓；打动；穿透；n 罢工；打击；殴打
string|n|n 线，弦，细绳；一串，一行
strong|a d n|adj 坚强的；强壮的；牢固的；擅长的；adv 强劲地；猛烈地
struggle|n v|v 奋斗，努力；挣扎；n 努力，奋斗；竞争
stubborn|a|adj 顽固的；顽强的；难处理的
student|n|n 学生；学者
studio|n|n 工作室；[广播][电视] 演播室；画室；电影制片厂
study|n v|n 学习，研究；课题；书房；学问；v 学习；考虑；攻读；细察
stupid|a n|adj 愚蠢的；麻木的；乏味的；n 傻瓜，笨蛋
style|n v|n 风格；时尚；类型；字体；v 设计；称呼；使合潮流
subject|a n v|n 主题；科目；[语] 主语；国民；adj 服从的；易患…的；受制于…的
subjective|a|adj 主观的；个人的；自觉的
submit|v|v 使服从；主张；呈递
subscribe|v|v 订阅；捐款；认购；赞成；签署
substitute|n v|n 代用品；代替者；v 替代
subtraction|n|n [数] 减法；减少；差集
succeed|v|v 成功；继承；继任；兴旺
success|n|n 成功，成就；胜利；大获成功的人或事物
successful|a|adj 成功的；一帆风顺的
such|a n|adj 这样的，如此的；n (Such)人名；(英)萨奇；(德)祖赫
suck|n v|v 吸吮；吸取；n 吮吸
sudden|a n|adj 突然的，意外的；快速的；n 突然发生的事
suffer|n v|v 遭受；忍受；经历；n (Suffer)人名；(意)苏费尔
suffering|a n v|n 受难；苦楚；adj 受苦的；患病的
sugar|n v|n 糖；食糖；甜言蜜语；v 加糖于；粉饰
suggest|v|v 提议，建议；启发；使人想起；显示；暗示
suggestion|n|n 建议；示意；微量，细微的迹象
suit|n v|v 适合；使适应；n 诉讼；恳求；套装，西装；一套外衣
suitable|a|adj 适当的；相配的
suitcase|n|n [轻] 手提箱；衣箱
suite|n|n （一套）家具；套房；组曲；（一批）随员，随从
summary|a n|adj 简易的；扼要的；n 概要，摘要，总结
sun|n v|n 太阳；v 使晒
sunburnt|a v|adj 晒黑的；有晒斑的；日炙的；v 晒黑（sunburn的过去式和过去分词）
sunday|n|n 星期日；礼拜日
sunglasses|n|n 太阳镜；凸透镜（sunglass的复数）
sunlight|n|n 日光
sunny|a|adj 阳光充足的，和煦的；快活的；性情开朗的
sunrise|n|n 日出；黎明
sunset|n|n 日落，傍晚
sunshine|n|n 阳光；愉快；晴天；快活
super|a n|adj 特级的；极好的；n 特级品，特大号；临时雇员
superb|a n|adj 极好的；华丽的；宏伟的；n (Superb)人名；(罗)苏佩尔布
superior|a n|adj 上级的；优秀的，出众的；高傲的；n 上级，长官；优胜者，高手；长者
superman|n|n 超人，能力非凡的
supermarket|n|n 超级市场；自助售货商店
supper|n|n 晚餐，晚饭；夜宵
supply|n v|n 供给，补给；供应品；v 供给，提供；补充
support|n v|v 支持，支撑，支援；扶持，帮助；赡养，供养；n 支持，维持；支援，供养；支持者，支撑物
suppose|v|v 假设；认为；让（虚拟语气）；推想；conj 假使…结果会怎样
supreme|a n|adj 最高的；至高的；最重要的；n 至高；霸权
sure|a d n|adj 确信的；可靠的；必定的；adv 当然；的确
surface|a n v|n 表面；表层；外观；adj 表面的，肤浅的
surgeon|n|n 外科医生
surplus|a n|n 剩余；[贸易] 顺差；盈余；过剩；adj 剩余的；过剩的
surprise|a n v|n 惊奇，诧异；突然袭击；v 使惊奇；奇袭
surround|a n v|v 围绕；包围；n 围绕物
surrounding|a n|adj 周围的，附近的；n 环境，周围的事物
survival|n|n 幸存，残存；幸存者，残存物
survive|v|v 幸存；生还；幸免于；比活得长
suspect|a n v|n 嫌疑犯；adj 可疑的；不可信的
suspension|n|n 悬浮；暂停；停职
swallow|n v|v 忍受；吞没；n 燕子；一次吞咽的量
swap|n v|n 交换；交换之物；v 与交换；以作交换
swear|n v|v 发誓；咒骂；n 宣誓；诅咒
sweat|n v|v 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待；n 汗；水珠；焦急；苦差使
sweater|n|n 毛线衣，运动衫；大量出汗的人，发汗剂
sweep|n v|v 扫除；猛拉；掸去；n 打扫，扫除；范围；全胜
sweet|a n|adj 甜的；悦耳的；芳香的；亲切的；n 糖果；乐趣；芳香；宝贝
swell|a n v|v 膨胀；肿胀；隆起；n 肿胀；隆起
swift|a d n|n 褐雨燕；adj 快的；迅速的；敏捷的；立刻的
swim|a n v|v 游泳；漂浮；浸；眩晕；n 游泳；漂浮；眩晕
swimming|a n v|n 游泳；目眩；adj 游泳的；游泳用的；善于游泳的；晕眩的
swing|a n v|n 摇摆；摆动；秋千；音律；涨落；v 摇摆；转向；悬挂；大摇大摆地行走
swiss|a n|adj 瑞士的；瑞士人的；瑞士风格的；n 瑞士人；瑞士腔调
switch|n v|v 转换；用鞭子等抽打；n 开关；转换；鞭子
switzerland|n|n 瑞士（欧洲国家）
sword|n|n 刀，剑；武力，战争
symbol|n|n 象征；符号；标志
sympathy|n|n 同情；慰问；赞同
symphony|n|n 交响乐；谐声，和声
system|n|n 制度，体制；系统；方法
systematic|a|adj 系统的；体系的；有系统的；[图情] 分类的；一贯的，惯常的
table|a n v|n 桌子；表格；平地层；v 制表；搁置；嵌合
tablet|n v|n 碑；药片；写字板；小块；平板电脑；vt 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块
tail|a n v|n 尾巴；踪迹；辫子；燕尾服；v 尾随；装上尾巴
tailor|n v|v 剪裁；使合适；n 裁缝
take|n v|v 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）；n 捕获量；看法；利益，盈益；（入场券的）售得金额
tale|n|n 故事；传说；叙述；流言蜚语
talent|n|n 才能；天才；天资
talk|n v|v 说；谈话；讨论；n 谈话；演讲；空谈
tall|a d n|adj 高的；长的；过分的；夸大的；adv 夸大地
tank|n v|n 坦克；水槽；池塘；v 把…贮放在柜内；打败
tanker|n|n 油轮；运油飞机；油槽车；坦克手
tap|n v|v 轻敲；轻打；装上嘴子；n 水龙头；轻打
tape|n v|n 胶带；磁带；带子；卷尺；v 录音；用带子捆扎；用胶布把…封住
target|n v|n 目标；靶子；v 把……作为目标；规定……的指标；瞄准某物
task|n v|v 分派任务；n 工作，作业；任务
taste|n v|n 味道；品味；审美；v 尝；体验
tasteless|a|adj 无味的；无鉴赏力的
tasty|a n|adj 美味的；高雅的；有趣的；n 可口的东西；引人入胜的东西
tax|n v|v 向…课税；使负重担；n 税金；重负
taxi|n v|v 乘出租车；滑行；n 出租汽车
tea|n v|n 茶叶；茶树；茶点；vt 给…沏茶
teach|n v|v 教；教授；教导；n (Teach)人名；(英)蒂奇
teacher|n|n 教师；导师
team|n v|n 队；组；v 使合作
teamwork|n|n 团队合作；协力
teapot|n|n 茶壶
tease|n v|v 取笑；戏弄；梳理；欺负；强求；使起毛；n 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
technical|a|adj 工艺的，科技的；技术上的；专门的
technique|n|n 技巧，技术；手法
technology|n|n 技术；工艺；术语
teenager|n|n 十几岁的青少年；十三岁到十九岁的少年
telegram|n v|n 电报；vt 用电报发送
telegraph|n v|n [通信] 电报机，电报；v 电汇；流露出；打电报给…
telephone|n v|n （美）电话；电话机；电话耳机；v 打电话
telescope|n v|v 压缩；使套叠；n 望远镜；缩叠式旅行袋
television|n|n 电视，电视机；电视业
tell|n v|v 告诉，说；辨别；吩咐；断定；n (Tell)人名；(英、德、瑞典)特尔；(罗、意)泰尔；(阿拉伯)塔勒
temperature|n|n 温度；体温；气温；发烧
temple|n|n 庙宇；寺院；神殿；太阳穴
temporary|a n|adj 暂时的，临时的；n 临时工，临时雇员
temptation|n|n 引诱；诱惑物
ten|n|num 十个，十；n (Ten)人名；(英)坦恩；(意)泰恩；(柬)登
tend|v|v 趋向，倾向；照料，照顾
tendency|n|n 倾向，趋势；癖好
tense|a n v|adj 紧张的；拉紧的；v 变得紧张；使拉紧
tension|n v|n 张力，拉力；紧张，不安；电压；vt 使紧张；使拉紧
tent|n v|n 帐篷；住处；帷幕；v 用帐篷遮盖；使在帐篷里住宿
tentative|a n|adj 试验性的，暂定的；踌躇的；n 假设，试验
term|n v|n 术语；学期；期限；条款；(代数式等的)项；v 把…叫做
terminal|a n|n 末端；终点；终端机；极限；adj 末端的；终点的；晚期的
terrible|a d|adj 可怕的；很糟的；令人讨厌的；adv 很，非常
terrify|v|v 恐吓；使恐怖；使害怕
terror|n|n 恐怖；恐怖行动；恐怖时期；可怕的人
test|n v|n 试验；检验；v 试验；测试
text|n v|n [计] 文本；课文；主题；v 发短信
textbook|n|n 教科书，课本
than|n|conj 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）；prep 比；超过
thank|n v|v 感谢；n 感谢
thankful|a|adj 感谢的；欣慰的
that|a d n|pron 那；那个；adv 那么；那样
the|d|art 这；那；adv 更加（用于比较级，最高级前）
theatre|n|n 电影院，戏院；戏剧；阶梯式讲堂
theft|n|n 盗窃；偷；赃物
their|n|pron 他们的，她们的；它们的；n (Their)人名；(英)蒂尔；(芬、瑞典)泰尔
theirs||pron 他们的；她们的；它们的
them|n|pron 他们；它们；她们；n (Them)人名；(老)探
theme|a n|n 主题；主旋律；题目；adj 以奇想主题布置的
themselves||pron 他们自己；他们亲自
then|d n|adv 然后；那么；于是；当时；此外；n 那时
theoretical|a|adj 理论的；理论上的；假设的；推理的
theory|n|n 理论；原理；学说；推测
there|d n|adv 在那里；在那边；在那点上；int 你瞧
therefore|d|adv 因此；所以
thermos|n|n 热水瓶
these|a|pron 这些；adj 这些的
they||pron 他们；它们；她们
thick|a d n|n 最拥挤部分；活动最多部分；事物的粗大浓密部分；adj 厚的；浓的；粗大的
thief|n|n 小偷，贼
thin|a d n v|adj 薄的；瘦的；稀薄的；微弱的；v 使瘦；使淡；使稀疏
thing|n|n 事情；东西；事物；情况
think|a n v|v 想；认为；想起；想像；打算；n 想；想法
thinking|a n v|adj 思考的；思想的；有理性的；好思考的；n 思考；思想；想法；意见；见解
third|a|num 第三；三分之一；adj 第三的；三分之一的
thirst|n v|n 渴望；口渴；热望；v 渴望；口渴
thirsty|a|adj 口渴的，口干的；渴望的，热望的
thirteen|a n|n 十三；十三岁；十三个；num 十三
thirty|a n|n 三十年代；num 三十
this|a d n|pron 这；这个；这里；adj 这；本；这个；今
thorough|a|adj 彻底的；十分的；周密的
those|a|adj 那些的；pron 那些（that的复数）
though|d|adv 可是，虽然；不过；然而；conj 虽然；尽管
thought|n v|n 思想；思考；想法；关心；v 想，思考；认为（think的过去式和过去分词）
thousand|a n|n 一千；一千个；许许多多；adj 成千的；无数的
thread|n v|n 线；螺纹；思路；衣服；线状物；玻璃纤维；路线；v 穿过；穿线于；使交织
three|a n|n 三，三个；num 三
thrill|n v|n 激动；震颤；紧张；v 使…颤动；使…紧张；使…感到兴奋或激动
thriller|n|n 惊险小说；使人毛骨悚然的东西；使人毛骨悚然的小说
throat|n v|n 喉咙；嗓子，嗓音；窄路；vt 开沟于；用喉音说
through|a d|prep 通过；穿过；凭借；adv 彻底；从头至尾
throughout|d|adv 自始至终，到处；全部；prep 贯穿，遍及
throw|n v|v 投；抛；掷；n 投掷；冒险
thunder|n v|n 雷；轰隆声；恐吓；v 打雷；怒喝
thunderstorm|n|n [气象] 雷暴；雷暴雨；大雷雨
thursday|n|n 星期四
thus|d n|adv 因此；从而；这样；如此；conj 因此
tibet|n|n 西藏（中国一自治区）
tibetan|a n|adj 西藏的；藏族的；n 藏语；西藏人
tick|n v|v 标记号于；滴答地记录；n 滴答声；扁虱；记号；赊欠
ticket|n v|n 票；入场券，标签；（美）候选人名单；证明书；交通罚款单；v 加标签于；指派；对…开出交通违规罚单
tidy|a n v|adj 整齐的；相当大的；v 整理；收拾；弄整齐
tie|n v|v 系；约束；打结；与…成平局；n 领带；平局；鞋带；领结；不分胜负
tiger|n|n 老虎；凶暴的人
tight|a d n|adj 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的；adv 紧紧地；彻底地
till|n v|n [地理][水文] 冰碛；放钱的抽屉；备用现金；prep 直到
time|a n v|n 时间；时代；次数；节拍；倍数；v 计时；测定…的时间；安排…的速度
timetable|n|n 时间表；时刻表；课程表
tin|a n v|n 锡；罐头，罐；马口铁；adj 锡制的
tiny|a n|adj 微小的；很少的；n (Tiny)人名；(葡、印)蒂尼
tip|n v|v 给小费；翻倒；倾覆；n 小费；尖端；小建议，小窍门；轻拍
tire|n v|v 疲劳；厌倦；n 轮胎；头饰
tired|a v|adj 疲倦的；厌倦的，厌烦的；v 疲倦；对…腻烦（tire的过去分词形式）
tiresome|a|adj 烦人的，无聊的；令人讨厌的
tissue|n v|n 组织；纸巾；薄纱；一套；v 饰以薄纱；用化妆纸揩去
title|a n v|n 冠军；标题；头衔；权利；字幕；v 加标题于；赋予头衔；把…称为
to|d n|adv 向前；（门等）关上；prep 到；向；（表示时间、方向）朝…方向
toast|n v|n 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人；v 向…祝酒，为…干杯
tobacco|n|n 烟草，烟叶；烟草制品；抽烟
today|d n|adv 今天；现今；n 今天；现今
together|a d|adv 一起；同时；相互；连续地；总共；adj 新潮的；情绪稳定的，做事有效率的
toilet|n v|n 厕所，盥洗室；梳妆，打扮；vi 梳妆，打扮
tokyo|n|n 东京（日本首都）
tolerate|v|v 忍受；默许；宽恕
tomato|n|n 番茄，西红柿
tomb|n v|n 坟墓；死亡；vt 埋葬
tomorrow|d n|n 明天；未来；adv 明天；未来地（等于to-morrow）
ton|n|n 吨；很多，大量
tongue|n v|n 舌头；语言；v 舔；斥责；用舌吹
tonight|d n|adv 在今晚；n 今晚
too|d|adv 太；也；很；还；非常；过度
tool|n v|n 工具，用具；器械，机床；手段；v 使用工具；用机床装备工厂
tooth|n v|n 牙齿；vt 给……装齿
toothache|n|n [口腔] 牙痛
toothbrush|n|n 牙刷
toothpaste|n|n 牙膏
top|a n v|n 顶部，顶端；上部；首席；陀螺；v 高出，超越；结束；达到顶点
topic|n|n 主题（等于theme）；题目；一般规则；总论
tortoise|n|n 龟，[脊椎] 乌龟（等于testudo）；迟缓的人
total|a n v|adj 全部的；完全的；整个的；v 总数达
totally|d|adv 完全地
touch|n v|v 接触；触动；使轻度受害；n 接触；触觉；格调；少许
tough|a d n v|adj 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的；n 恶棍
tourism|n|n 旅游业；游览
tourist|a d n v|n 旅行者，观光客；adj 旅游的
tournament|n|n 锦标赛，联赛；比赛
toward|a n|prep 向；对于；为了；接近；adj 即将来到的，进行中的
towel|n v|n 毛巾，手巾；[纸] 纸巾；v 用毛巾擦
tower|n v|n 塔；高楼；堡垒；v 高耸；超越
town|n|n 城镇，市镇；市内商业区
toy|a n v|n 玩具；小装饰品；不值钱的东西；v 玩弄；调情；随随便便地对待
track|n v|n 轨道；足迹，踪迹；小道；v 追踪；通过；循路而行；用纤拉
tractor|n|n 拖拉机；牵引机
trade|n v|n 贸易，交易；行业；职业；v 交易，买卖；以物易物
tradition|n|n 惯例，传统；传说
traditional|a|adj 传统的；惯例的
traffic|n v|n 交通；运输；贸易；[通信] 通信量；v 用…作交换；在…通行
train|n v|n 火车；行列；长队；裙裾；v 培养；训练；瞄准
trainer|n|n 助理教练；训练员；驯马师；飞行练习器；运动鞋
training|n v|n 训练；培养；瞄准；整枝；v 训练；教养（train的ing形式）
tram|n v|n 电车轨道；煤车；v 用煤车运载
transform|v|v 改变，使…变形；转换
translate|v|v 翻译；转化；解释；转变为；调动
translation|n|n 翻译；译文；转化；调任
translator|n|n 译者；翻译器
transparent|a|adj 透明的；显然的；坦率的；易懂的
transport|n v|n 运输；运输机；狂喜；流放犯；v 运输；流放；使狂喜
trap|n v|v 诱捕；使…受限制；使…陷入困境；n 陷阱；圈套；[建] 存水湾
